시군명,충전소명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,운영기관명,충전기타입명
성남시,성남선텍시티 2주차장,경기도 성남시 중원구 상대원동 513-15번지 성남선텍시티 2주차장,경기도 성남시 중원구 둔촌대로 474,13229,37.4313456374,127.1692817382,에버온,AC완속
성남시,성남시 이마트 에브리데이(서판교점),경기도 성남시 분당구 판교동 620번지 1층 주차장,경기도 성남시 분당구 운중로277번길 45,13477,37.3902656874,127.0902031386,차지비,AC완속
성남시,성남시 신흥3동 주민센터,경기도 성남시 수정구 신흥동 2819번지 주차장,경기도 성남시 수정구 공원로349번길 8,13350,37.4435363363,127.1488453045,차지비,AC완속
성남시,넥슨코리아,경기도 성남시 분당구 삼평동 627번지 지하4층,경기도 성남시 분당구 판교로256번길 7,13487,37.4020377986,127.1034601712,한국전기차충전서비스,AC완속
성남시,중앙인더스피아5차아파트,경기도 성남시 중원구 상대원동 138-6번지 중앙인더스피아5차,,13202,37.4416230615,127.1764375697,케이티,AC완속
성남시,㈜경동,경기도 성남시 분당구 수내동 4-4번지 지하1층,경기도 성남시 분당구 수내로46번길 4,13595,37.3807832819,127.1171266944,파워큐브,AC완속
성남시,성남시 평생학습관,경기도 성남시 분당구 야탑동 610번지 지하주차장,경기도 성남시 분당구 판교로 546,13514,37.4039682800,127.1347142400,차지비,AC완속
성남시,성남시 신흥1동 주민센터,경기도 성남시 수정구 신흥동 5481번지 주차장,경기도 성남시 수정구 수정로188번길 7,13338,37.4430536236,127.1411828715,차지비,AC완속
성남시,LH경기지역본부,경기도 성남시 분당구 구미동 175번지 경기지역본부 구내 식당 1층(건물 뒷편)(175 경기지역본부 구내 식당 1층(건물 뒷편)),경기도 성남시 분당구 성남대로54번길 3,13637,37.3413710362,127.1104402258,지엔텔,AC완속
성남시,성남시 성남종합스포츠센터,경기도 성남시 중원구 성남동 3110번지 성남종합스포츠센터건물 A동 지하2층주차장(수영장옆),경기도 성남시 중원구 제일로 60,13363,37.4316057706,127.1380839506,지엔텔,DC차데모+AC3상+DC콤보
성남시,성남시 중원구보건소,경기도 성남시 중원구 상대원동 269-10번지 지상1층주차장(269-10 지상1층주차장),경기도 성남시 중원구 금상로 137,13200,37.4421656038,127.1705341666,지엔텔,DC차데모+AC3상+DC콤보
성남시,한국지역난방공사 판교가압장,경기도 성남시 분당구 삼평동 732,경기도 성남시 분당구 대왕판교로644번길 68,13492,37.3995326721,127.1141812304,한국전기차충전서비스,DC차데모+AC3상+DC콤보
성남시,성남 정든마을동아1단지,"경기도 성남시 분당구 정자동 200번지 101동 3대, 103동 3대, 104동 1대",경기도 성남시 분당구 불정로 141,13603,37.3606755924,127.1205827349,이카플러그,AC완속
성남시,하나로마트 성남점,경기도 성남시 분당구 구미동 174번지,경기도 성남시 분당구 성남대로43번길 11,13635,37.3387625774,127.1066718207,환경부(한국자동차환경협회),DC차데모+AC3상+DC콤보
성남시,가야주유소,경기도 성남시 중원구 갈현동 379-1번지 가야주유소,경기도 성남시 중원구 경충대로 2590,13413,37.4222322726,127.1627329168,케이티,DC차데모+AC3상+DC콤보
성남시,백궁동양파라곤,경기도 성남시 분당구 정자동 17-2번지 백궁동양파라곤,,13558,37.3681405928,127.1072525907,케이티,AC완속
성남시,중앙인더스피아2아파트형공장,경기도 성남시 중원구 상대원동 144-5번지 중앙인더스피아2아파트형공장,,13201,37.4404884338,127.1735598142,케이티,AC완속
성남시,한솔마을한일아파트(중앙주차장),경기도 성남시 분당구 정자동 107번지 한솔마을한일아파트 306동~307동 중앙지하주차장 B1층 왼쪽,,13608,37.3675342027,127.1202997430,케이티,AC완속
성남시,반포테크노피아,경기도 성남시 중원구 상대원동 513-3번지 반포테크노피아,경기도 성남시 중원구 갈마치로 186,13230,37.4303775845,127.1744853552,케이티,AC완속
